Direct Client/In-house,1000,,,,
AAA Worldwide Translation,1001,,,,
"Action Translation Sevices, Inc.",1002,,,,
AD-COM Garry,1003,,,,
AD-COM Mathieu,1004,,,,
Advanced Translation Services,1005,,,,
Affinity Languages Services,1006,,,,
aLanguageBank,1007,,,,
Alboum & Associates Language Services,1008,,,,
All Language Alliance,1009,,,,
"AllWorld Language Consultants, Inc.",1010,,,,
"ALTA Language Services, Inc.",1011,,,,
Ambassador Service Group,1012,,,,
American Language Services,1013,,,,
Association of Translators & Interpreters,1014,,,,
"ASTA-USA, Inc.",1015,,,,
AVL Books/WorldView Media,1016,,,,
Beeline Communications Inc.,1017,,,,
BTS Translation Services,1018,,,,
"Capital Translations, Inc.",1019,,,,
"CCCS, Inc.",1020,,,,
CD Language Solutions,1021,,,,
Clearpath Comprehensive Translation Services,1022,,,,
Columbia Language Services,1023,,,,
Corporate Translations Inc.,1024,,,,
"Counterpoint Language Consultants, Inc.",1025,,,,
"Drawe Agency, Inc.",1026,,,,
Faisal Madi,1027,,,,
Fluent Language Solutions,1028,,,,
"Garden & Associates, Inc.",1029,,,,
Gaylord Entertainment,1030,,,,
Geo Language Services Ltd.,1031,,,,
"Geotext Translations, Inc.",1032,,,,
Globelink Foreign Language Center,1033,,,,
GLOBO Language Solutions,1034,,,,
Hadi Taleb,1035,,,,
Hailoo,1036,,,,
IAL Services,1037,,,,
ICOM Translation Network,1038,,,,
INGCO International,1039,,,,
Inlingua,1040,,,,
International Translation Agency Ltd.,1041,,,,
Marta Gold Interpreting & Translating Ltd.,1042,,,,
"Interspeak Translations, Inc.",1043,,,,
Jan D. Gibboney Technical Translators,1044,,,,
Joseph Mardelli,1045,,,,
JR Language Translation Services Inc.,1046,,,,
Kwinessential,1047,,,,
L@ Translations & Design Ltd.,1048,,,,
Lan Do Associates,1049,,,,
Language Access Resource Center,1050,,,,
Language Bank,1051,,,,
Language Exchange Inc.,1052,,,,
"Language Fish, LLC",1053,,,,
Language innovations LLC,1054,,,,
Language Services Associates,1055,,,,
LEXICOMM,1056,,,,
Lextracon - Language Solutions and Consul,1057,,,,
Localingua,1058,,,,
Mannheimer Sprachendienst,1059,,,,
MAPA Translations & Language School,1060,,,,
"MEJ Personal Business Services, Inc.",1061,,,,
Mohamad Khasawneh,1062,,,,
Morningside Translations,1063,,,,
Moxie TM Inc.,1064,,,,
"MSI Resources, Inc.",1065,,,,
"MTC Consulting International, Inc.",1066,,,,
MTM LinguaSoft,1067,,,,
Net-Translators,1068,,,,
"Nova Languages, Inc.",1069,,,,
NYU ,1070,,,,
Omnibus Global Translations,1071,,,,
Omnilingua Worldwide,1072,,,,
Palmetto Interpreters,1073,,,,
Panational,1074,,,,
Panational Multilingual Services,1075,,,,
Para-Plus Translations,1076,,,,
"PARENTY REITMEIER, INC.",1077,,,,
PJD Arabic Translation Services,1078,,,,
Primalingua,1079,,,,
Rajaa Al-Saleem,1080,,,,
"RIC International, Inc.",1081,,,,
"Richards Graphic Communications, Inc.",1082,,,,
Rosetta Stone Translations,1083,,,,
RR Donnelley Translation & Multilingual C,1084,,,,
"Sally Low & Associates, Inc.",1085,,,,
SM Consulting,1086,,,,
Spokane International Translation,1087,,,,
Summit Translations,1088,,,,
"Syntes Language Group, Inc.",1089,,,,
Targem Translations,1090,,,,
"The Bridge-World Language Center, Inc.",1091,,,,
"The LanguageWorks, Inc.",1092,,,,
"Total Translations, Inc.",1093,,,,
TRADUCTA,1094,,,,
Trans Clarity,1095,,,,
TransPerfect,1096,,,,
Tribeca Translations,1097,,,,
Ultimate Nutrition,1098,,,,
United Way of Greater Portland,1099,,,,
Unlimited Languages,1100,,,,
"Western Bilingual Employment Services, LLC",1101,,,,
Diplomas and Academic Records,1102,,,,
Birth Certificates,1103,,,,
Other Official Documents,1104,,,,
Battery Dance,1105,,,,
"Precision Language & Graphics, Inc.",1106,,,,
"Transfirex Translation Services, Inc.",1107,,,,
WorldLingo,1108,,,,
New York State,1109,,,,
TechTrans International,1110,,,,
International Translation Company,1111,,,,
Horizon Translating and Interpreting,1112,,,,
FS Language Services,1113,,,,
Techdeforce,1114,,,,
Seven Languages Translating Services,1115,,,,
One Planet,1116,,,,
"Cetra, Inc.",1117,,,,
Park IP Translations,1118,,,,
"The Language Doctors (TLD), Inc.",1119,,,,
Ad-Astra,1120,,,,
Official Translate,1121,,,,
Advanced Interpreting Services,1122,,,,
Interpret This,1123,,,,
Dream Management Inc.,1124,,,,
Translate Media,1125,,,,
"Translation Company of New York, LLC",1126,,,,
Nabil,1127,,,,
lTC Innovate,1128,,,,
Prime Languages Ltd. ,1129,,,,
Lingualinx (Kevin),1130,,,,
Expert Translators,1131,,,,
Regional Center for Renewable Energy and Energy ,1132,,,,
Eloquence Language,1133,,,,
Language translate Global Link,1134,,,,
Translationz Corp,1135,,,,
Engineering Artful Translations,1136,,,,
"EIBER TRANSLATIONS, INC",1137,,,,
Iman Zeid,1138,,,,
LATN,1139,,,,
Language Services,1140,,,,
Ammar Kasabchy ,1141,,,,
Magath Nam,1142,,,,
House of Language,1143,,,,
Accurate Translation,1144,,,,
Omni Intercommunications,1145,,,,
"MIR Associates, Inc",1146,,,,
Daniel Rezek,1147,,,,
"améredia, inc.",1148,,,,
"SpanGlish Bilingual Agency, Inc.",1149,,,,
CH2M HILL,1150,,,,
"1st Metropolitan Translation Services, Inc.",1151,,,,
Nofal,1152,,,,
Unlimited Languages,1153,,,,
Codex Global Limited,1154,,,,
American International Translators,1155,,,,
New World Medium,1156,,,,
Translations International INC,1157,,,,
Belqis Bila,1158,,,,
Universe US,1159,,,,
LanguageFusion.us,1160,,,,
Laila,1161,,,,
"Translation Excellence, Inc.",1162,,,,
Larrass Translations,1163,,,,
International Language Center & Brunetti Language School,1164,,,,
Global Interpreting Network,1165,,,,
ORBmedia ,1166,,,,
Superior Translations,1167,,,,
Language Web,1168,,,,
ANTA WIZ translation,1169,,,,
Dynamic Language,1170,,,,
Global Accent Translation Services,1171,,,,
"The Language Exchange, Inc.",1172,,,,
Language Network USA,1173,,,,
American Translation Partners,1174,,,,
"SWITS, Ltd.",1175,,,,
"DDR Global, LLC",1176,,,,
JTG inc.,1177,,,,
Interspeak translations,1178,,,,
Cal Interpreting and Translation,1179,,,,
Info Bridges,1180,,,,
CM AHEC Translation Services,1181,,,,
Vocabridge,1182,,,,
Russian House,1183,,,,
Consortra Translations,1184,,,,
Lingua Franca Translations,1185,,,,
"Star Interpreting, Inc.",1186,,,,
"Ohio Translation Services, LLC",1187,,,,
Language Resource Center,1188,,,,
Paragon Language Services,1189,,,,
"CONTINENTAL INTERPRETING SERVICES, INC.",1190,,,,  
Command Security Corporation,1191,,,,
The Interpreter Network,1192,,,,
Language Resource Center Inc.,1193,,,,
"Master Word Services, Inc",1194,,,,
"Voices For Health, Inc.",1195,,,,
Divergent Language Solutions,1196,,,,
Pendelton Translations,1197,,,,
7clingo,1198,,,,
ACP Decisions,1199,,,,
Euroscript,1200,,,,
GlobeLink Foreign Language Center,1201,,,,
ContextGlobal Inc.,1202,,,,
FastTranslator,1203,,,,
ISI Translation Services,1204,,,,
inlingua Utah,1205,,,,
Immobel USA,1206,,,,
The Language Corner ,1207,,,,
ARCH Language Network,1208,,,,
Liberty Language Services,1209,,,,
Avantgarde Translations,1210,,,,
Ad Astra Translation,1211,,,,
Cititran.com LLC ,1212,,,,
Junk Architects,1213,,,,
Language Services International,1214,,,,
TI Verbatim Consulting,1215,,,,
Merrill Legal Translations ,1216,,,,
Executive Language Services,1217,,,,
Vega Interpreters,1218,,,,
Ubiqus,1219,,,,
Conduit Language Specialists,1220,,,,
"Foreign Language Services, Inc.",1221,,,,
"International Translating Bureau, Inc.",1222,,,,
Columbia Translators & Editors,1223,,,,
Center for Health Impact ,1224,,,,
Spring Institute,1225,,,,
InSync Interpreters,1226,,,,
Inlingua Stamford,1227,,,,
Jacksonville lang Svc,1228,,,,
clarus Language Solutions,1229,,,,
CIS Inc,1230,,,,
Accredited Language Services,1231,,,,
Toward inc,1232,,,,
Djebli Translation & Media Services LLC,1233,,,,
G3 Translate ,1234,,,,
RAD-Planning,1235,,,,
"Total Language Resources, Inc.",1236,,,,
Accurate Communication,1237,,,,
MAMI Interpreters,1238,,,,
Trustforte Language Services,1239,,,,
"LINK Translations & Typesetting, Inc.",1240,,,,
Eloquence Language Services LLC,1241,,,,
International Language Services,1242,,,,
Water Street Translations,1243,,,,
Perfect Translations ,1244,,,,
TONE,1245,,,,
The Translation Lab,1246,,,,
"Abro Enterprises, LLC",1247,,,,
NYC TLC ,1248,,,,
Culture Connections ,1249,,,,
"Eiber Translations, Inc. ",1250,,,,
Simulingua,1251,,,,
"Callagy Law, PC",1252,,,,
"Lisa Hall & Associates, Inc. ",1253,,,,
The Language Academy of the Carolinas,1254,,,,
OTDA,1255,,,,
CHICLE,1256,,,,
Precisa Traducciones,1257,,,,
eWorld Translations,1258,,,,
Acutrans Language for All,1259,,,,
Hanna ,1260,,,,
Midlocalize ,1261,,,,
USACAS,1262,,,,
Multilingual Solutions,1263,,,,
AMCB Translations & Interpretations NY LLC,1264,,,,
Avante Language Services Inc,1265,,,,
Identity ww,1266,,,,
Foreign Translations,1267,,,,
Language USA,1268,,,,
"Loeb and Loeb, LLP",1269,,,,
Excel Interpreting and Translating,1270,,,,
Native Interpreting,1271,,,,
Liberty Translations and Interpreters,1272,,,,
RPS ,1273,,,,
Steve Furse,1274,,,,
Atoz,1275,,,,
Magna,1276,,,,
Intergraphics,1277,,,,